company,position,location,description,skills
Reliable Robotics,Software Engineer Engineering Productivity,Remote,"we're building safety-enhancing technology for aviation that will save lives. automated aviation systems will enable a future where air transportation is safer, more convenient and fundamentally transformative to the way goods â and eventually people â move around the planet. we are a team of mission-driven engineers with experience across aerospace, robotics and self-driving cars working to make this future a reality.as a senior software engineer - engineering productivity at reliable robotics, you will design, and implement software to support the development, analysis, and certification of automated aircraft systems. you will work closely with product owners and end users to develop solutions that enable and optimize engineering development workflows. the software you produce will be critical to the development and certification of the first fully autonomous aircraft.responsibilitiesin your role as an internal tool developer, you will develop applications, infrastructure, and tools used by engineering to capture product requirements and interface definitions, model the product architecture and design, and reduce and analyze flight and lab test data. you will supercharge the engineering organizationâs efficiency and effectiveness by streamlining tools and processes. you will work with other teams and stakeholders to establish technical and ux design requirements for these projects and own the âplan, code, build, test, release, deployâ lifecycle of these applications and services.\nbasic success criteria bachelorâs degree in computer science, computer engineering, or equivalent experience5+ years experience with professional full stack web development in a team settingprofessional experience with core browser technologies (javascript, html, css) and typescriptexperience structuring dynamic, model-driven data and determining data relationshipsexperience working with sql, nosql, and time series databasesexperience designing software architecture for both new and existing projectspreferred success criteriaexperience using python and libraries such as pandas, matplotlib, and djangoexperience integrating with cloud platforms and infrastructure tools such as aws, terraform, and dockerexperience designing and implementing ingestion pipelines for high-throughput streams of real-time telemetryexperience integrating business intelligence and data visualization tools such as tableau, power bi, superset, metabaseexperience developing react components and reusable libraries/tools for developers\nat reliable robotics, we believe that our internal tools are key ingredients to our success. aircraft design, integration, and certification are highly complex processes requiring diligent management of data and their relationships. traditionally a paper process, our tools enable our system designers to move faster, conduct more thorough and comprehensive analyses, and design safer aircraft systems. come be a part of taking our products to the next level.must be willing to travel up to 10% of the time.the estimated salary range for this position is $175,000 to $235,000/annual salary + cash and stock option awards + benefits.  at reliable robotics, we strive to provide competitive and rewarding compensation based on experience and expertise, as well as market conditions, location, and pay equity.  in addition to base compensation, reliable robotics offers stock options, employee medical, 401k contribution, great co-workers and a casual work environment.this position requires access to information that is subject to u.s. export controls. an offer of employment will be contingent upon the applicantâs capacity to perform in compliance with u.s. export control laws.all applicants are asked to provide documentation that legally establishes status as a u.s. person or non-u.s. person (and nationalities in the case of a non-u.s. person). where the applicant is not a u.s. person, meaning not a (i) u.s. citizen or national, (ii) u.s. lawful permanent resident, (iii) refugee under 8 u.s.c. â§ 1157, or (iv) asylee under 8 u.s.c. â§ 1158, or not otherwise permitted to access the export-controlled technology without u.s. government authorization, the company reserves the right not to apply for an export license for such applicants whose access to export-controlled technology or software source code requires authorization and may decline to proceed with the application process and any offer of employment on that basis.at reliable robotics, our goal is to be a diverse and inclusive workforce.  as an equal opportunity employer, we do not discriminate on the basis of race, religion, color, creed, ancestry, sex, gender (including pregnancy, childbirth, breastfeeding, or related medical conditions), gender identity, gender expression, sexual orientation, age, non-disqualifying physical or mental disability or medical conditions, national origin, military or veteran status, genetic information, marital status, or any other basis covered by applicable law. all employment and promotion is decided on the basis of qualifications, merit, and business need.if you require reasonable accommodation in completing an application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to work@reliable.coplease mention the word **genuine** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.","['python', 'sql', 'pandas', 'aws', 'tableau']"
NetDocuments,Senior Sales Director Corporate & Public Sector,Remote - US,"netdocuments is committed to providing an excellent candidate experience and will never ask you to engage in recruitment activity without phone, video, and in person meetings and communications from emails using the @netdocuments.com domain. if you have any concerns or questions about communications you have received, please send them toâ¯hrgroup@netdocuments.com so our team members can review.

netdocuments is the worldâs #1 trusted cloud-based content management and productivity platform that helps legal professionals do their best work. we strive to win together through passionate hard work, exploring new things and recognizing every interaction matters.

netdocuments provides rewarding career growth in an inclusive, diverse environment where employees are encouraged to openly contribute creative ideas and innovation, backed by supportive peers and leadership working together to achieve.please mention the word **elite** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
ArenaNet,Senior Environment Artist Contract,Remote,"at arenanet, weâve always believed that games are art. they have the power to communicate ideas and tell stories. they can change the way we think, reflect our cultures, and move us. as the developer of the award-winning guild wars game series, weâre proud to share our passion for the online worlds weâve created with over 21 million players worldwide.
arenanet develops and publishes games for every kind of person, which means our games need to be built by every kind of person. we believe the best experiences come from working together, celebrating differences, and helping each of our team members shine.
we are looking for a contract senior environment concept artist to create high-quality concept art for environments, props, and world-building elements. this role will deliver visually compelling assets that define the game world and support gameplay. this ideal candidate is highly skilled in illustration and concept design, self-motivated, and can work independently while collaborating with the art lead and other team members.
what you'll do

produce high-quality concept art and multiple design iterations for environments, props, and world-building elements that align with the projectâs artistic vision.
design and conceptualize immersive environments that support storytelling, gameplay, and world cohesion.
create storyboards for combat and vfx teams to visualize weapon skills, abilities, and progression.
develop dynamic environment mood paintings, lighting studies, color keys, and color scripts.
ensure all concepts adhere to artistic standards and maintain visual cohesion across teams.
communicate design intent to stakeholders, incorporating feedback to refine concepts efficiently.

what you'll need to be successful

bachelorâs degree in art or related field, or an equivalent combination of education, training, and experience. 
5+ years of professional experience as a concept artist in game development.
strong foundation in anatomy, shape language, composition, lighting, color theory, and visual storytelling.
expertise in creating high-quality concept art that conveys the vision and mood of the game.
highly proficient in photoshop and other digital tools. 
ability to work independently, prioritize tasks, and deliver high-quality work on schedule.
excellent communication, collaboration, and time-management skills.
ability to give and receive feedback constructively and professionally.
excellent attention to detail, with a passion for creating high-quality, innovative work.
proven ability to create both quick sketches/color comps and polished final artwork.
please mention the word **promises** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Lumin Digital,Senior Manager of Marketing Programs,Remote- United States,"the senior manage of  marketing program manager, is responsible for managing the coordination, execution, and governance of high-impact marketing programs and all-channel marketing campaigns that drive brand awareness, demand generation, and client engagement. this individual ensures marketing initiatives and assets are delivered on time, on budget, and aligned with strategic business/marketing objectives. the role requires a mix of strategic planning, stakeholder management, and operational excellence to enable cross-functional marketing success. this person will work closely with campaign operations to align and optimize the targeted outbound campaigns. the ideal candidate brings operational rigor, technical expertise, project management excellence, and a collaborative mindset to unify marketing efforts under one coordinated plan.essential functions and responsibilities:lead end-to-end management of complex marketing programs spanning brand, content, product, digital, lifecycle, and events.develop and manage integrated marketing plans and timelines in collaboration with campaign, creative, product marketing, and sales teams.work closely with the campaign operations manager to drive cross-functional alignment and ensure program objectives, deliverables, and kpis are clear and achievable. establish and oversee project management frameworks, tools, and processes for marketing initiatives.serve as the central liaison between marketing teams, campaign operations, and brand / creative teams to ensure clear alignment of goals and deliverables. provide transparent reporting on project milestones, risks, and outcomes.anticipate bottlenecks, identify solutions, and balance competing priorities across teams. proactively collaborate and problem-solve to remove barriers to success. facilitate effective communication across internal teams and external agency or vendor partners.support annual, quarterly, and critical program marketing planning cycles, ensuring alignment with corporate objectives.manage program budgets and resource allocations to optimize efficiency and impact.coordinate closely with campaign operations to implement and refine program performance tracking and post-campaign analysis.the ideal candidate brings operational rigor, technical expertise, project management excellence, and a collaborative mindset to unify marketing efforts under one coordinated plan.foster a collaborative, high-performance culture focused on accountability, learning, and innovation.champion best practices in program management, agile marketing, and continuous improvement.perform other duties as assigned.position specificationseducation: bachelorâs degree in marketing, business administration, communications, or related field.pmp, agile, or other project management certification.experience:8 years of experience in marketing program or project managementproven success managing complex, multi-channel marketing initiatives.experience in fintech or saas industries.experience working with creative, digital, and analytics teams in a b2b environment.knowledge, skills, & abilities:exceptional communication, organizational, and leadership skills.strong analytical mindset with the ability to translate insights into action.program execution excellence: demonstrates the ability to deliver marketing programs on time, within budget, and with measurable results that consistently exceed defined impact and performance goals.cross-functional leadership: effectively leads and collaborates across cross-functional teams to ensure clear accountability, transparent communication, and streamlined execution of marketing initiatives.operational maturity and continuous improvement: drives continuous enhancement of marketing operations by identifying process efficiencies, optimizing workflows, and advancing the organizationâs operational maturity and executional excellence.strategic partnership and influence: serves as a trusted advisor and operational partner to campaign operations, marketing leadership, and creative teamsâproviding strategic insights, fostering collaboration, and ensuring alignment between strategy and execution.travel: minimal, generally 12 days or less per year, ~2x team get togethers a year\n\n$165,000 - $185,000 a year\nlife at lumin digitallumin digital is a trailblazer in digital banking solutions, driven by a unique approach to technology, service, and people. we empower credit unions and banks by creating cutting-edge digital experiences that continuously serve, engage, and grow their membership base. lumin is 100% cloud-native, purpose-built to unlock the full advantages of the cloud for financial institutions and their users.at lumin, we thrive on curiosity and innovation. our culture fosters trust - in our expertise and decisions, respect - for diverse perspectives and talents, and boldness - in pursuing innovative paths. these values guide us, shaping a workplace where collaboration thrives, ideas flourish, and new possibilities are discovered. focused on continuous improvement and innovation, we encourage our team to explore, experiment, and put new ideas into action, challenging the usual way of doing things.lumin digital is an equal opportunity employer. we consider all qualified applicants without regard to race, color, religion, sex, national origin, disability, protected veteran status, sexual orientation, gender identity, or any other legally protected basis, in accordance with applicable law.for more information, visit lumindigital.com.please mention the word **idyllic** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
H1,Finance Analyst,New York,"at h1, we believe access to the best healthcare information is a basic human right. our mission is to provide a platform that can optimally inform every doctor interaction globally. this promotes health equity and builds needed trust in healthcare systems. to accomplish this our teams harness the power of data and ai-technology to unlock groundbreaking medical insights and convert those insights into action that result in optimal patient outcomes and accelerates an equitable and inclusive drug development lifecycle.  visit h1.co to learn more about us.the finance team plays a crucial role in creating that future. it is our role to serve as a liaison between h1âs commercial & technical teams to oversee issues related to financial reporting, analysis, forecasting, and planning, as well as resource prioritization and business management. with a deep understanding of the business levers underlying the operations of our infrastructure team, this team is responsible for helping the business to drive toward clear and effective decisions which are critical to the success of the companywhat you'll do at h1as a finance analyst, youâll be part of a highly visible team that partners with leaders and departments across the company. youâll support the finance team with quarterly and annual forecasting, expense budgeting, key metrics reporting and analysis, close processes, and variance analysis, while also driving various automation and simplification projects.- assist with the preparation of annual budgets and financial forecasts to ensure alignment with the companyâs strategic goals and key initiatives- support the finance team in reporting and analyzing key metrics such as annual recurring revenue (arr) and churn- provide actionable insights on revenue and collection trends, customer retention and profitability, and other key performance drivers- assist with the implementation of variable compensation plans for teams across the organization- track and calculate monthly, quarterly, and annual sales commissions in accordance with approved compensation plans- support monthly financial presentations for both the executive team and board of director meetings- implement scalable processes through automation and process improvement to help strengthen the finance foundation- perform ad-hoc analysis on critical business needsabout youyouâre a strong financial data driven analytical professional, with experience in fp&a or strategic finance  for high growth, enterprise b2b saas tech, healthcare or marketplace companies. you know how to thrive in a fast-paced and frequently changing environment.requirements - 3+ years of experience in a finance department- bachelorâs  degree in finance, accounting, or a related major field (mba is a plus)- experience in b2b saas financial modeling is a plus- advanced skills in microsoft excel and powerpoint (google sheets and slides experience is a plus)- excellent communication skills with the ability to interact directly with people at all levels of the organization- ability to meet deadlines while working in a fast paced environment- advanced system skills and the ability to learn new systems quickly.- strong attention to detail and ability to effectively prioritize taskscompensationthis role pays $75,000 to $88,000 per year, based on experience, in addition to stock options.anticipated role close date: 01/10/2026\n\nh1 offers- full suite of health insurance options, in addition to generous paid time off- pre-planned company-wide wellness holidays- retirement options- health & charitable donation stipends- impactful business resource groups- flexible work hours & the opportunity to work from anywhere- the opportunity to work with leading biotech and life sciences companies in an innovative industry with a mission to improve healthcare around the globeh1 is proud to be an equal opportunity employer that celebrates diversity and is committed to creating an inclusive workplace with equal opportunity for all applicants and teammates. our goal is to recruit the most talented people from a diverse candidate pool regardless of race, color, ancestry, national origin, religion, disability, sex (including pregnancy), age, gender, gender identity, sexual orientation, marital status, veteran status, or any other characteristic protected by law. h1 is committed to working with and providing access and reasonable accommodation to applicants with mental and/or physical disabilities. if you require an accommodation, please reach out to your recruiter once you've begun the interview process. all requests for accommodations are treated discreetly and confidentially, as practical and permitted by law.please mention the word **distinction** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",['excel']
TextNow,Senior Data Analyst,Open- Canada,"we believe communication belongs to everyone. we exist to democratize phone service.  textnow is evolving the way the world connects and that's because we're made up of people with curious minds who bring an optimistic, yet critical lens into the work we do.   we're the largest provider of free phone service in the nation. and we're just getting started. join us in our mission to break down barriers to communication and free the flow of conversation for people everywhere. textnow is looking for a motivated senior data analyst to join our analytics & insights team. youâll drive data-informed decision-making across the organization by translating business problems into analytical solutions, designing insightful dashboards, and uncovering trends that shape strategic actions.this role is perfect for someone with strong analytical skills, deep business acumen, and a passion for using data to tell stories that inspire action.what youâll doanalyze complex datasets to identify actionable insights, trends, and opportunitiesdevelop and maintain dashboards, reports, and data visualizations using tools like looker, tableau, power bi, or redashconduct ad hoc analyses to support product, marketing, and operations initiativespartner with data engineering teams to ensure data quality, integrity, and availabilitydevelop and maintain kpi frameworks and performance measurement systemsassist in building scalable data models and automation pipelinescollaborate cross-functionally with product, finance, marketing, and operations teams to define analytical needstranslate business questions into data requirements and present insights and recommendations to senior leadershipmentor junior analysts and foster a culture of data-driven decision-makingdefine and standardize analytical best practices across the organizationyouâll be a great fit if you havebachelorâs degree in data science, statistics, mathematics, economics, computer science, or a related field (masterâs preferred)5+ years of experience in data analytics or business intelligenceproficiency in sql and at least one programming language (e.g., python or r)experience with modern bi tools (looker, tableau, power bi, mode, or redash)strong understanding of a/b testing, statistical analysis, and data modelingexperience working with large-scale datasets and cloud-based environments (e.g., snowflake, eppo)excellent communication and storytelling skills with dataattention to detail, analytical rigor, and curiosity for continuous improvementpreferred skillsexperience in telecommunications, saas, or consumer app environmentsfamiliarity with machine learning concepts and predictive analyticsunderstanding of etl processes and data warehousing fundamentalsexperience collaborating with product teams on experimentation and growth analyticsestimated base salary range by location:canada (cad): $103,700 â $140,300us â national (usd): $114,800 â $155,300final compensation will be determined based on a number of factors, including skills, experience, location, and on-the-job performance. weâre committed to paying competitively to hire and retain high-caliber talent. we recognize that exceptional talent may fall outside of these ranges; we encourage all qualified candidates to apply even if their compensation expectations are outside of the listed range.\n\nmore about textnow... our values:â·  customer obsessed (we strive to have a deep understanding of our customers)â·  do right by our people (we treat each other with fairness, respect, and integrity)â·  accept the challenge (we adopt a ""yes, we can"" mindset to achieve ambitious goals)â·  act like an owner (we treat this company like it's our own... because it is!)â·  give a damn! (we are deeply committed and passionate about our work and achieving results)benefits, culture, & more: â·   strong work life blend â·   flexible work arrangements (wfh, remote, or access to one of our office spaces) â·   employee stock options â·   unlimited vacation â·   competitive pay and benefitsâ·   parental leaveâ·   benefits for both physical and mental well being (wellness credit and l&d credit) â·   we travel a few times a year for various team events, company wide off-sites, and morediversity and inclusion:at textnow, our mission is built around inclusion and offering a service for everyone, in an industry that traditionally only caters to the few who have the means to afford it. we believe that diversity of thought and inclusion of others promotes a greater feeling of belonging and higher levels of engagement. we know that if we work together, we can do amazing things, and that our differences are what make our product and company great. textnow candidate policyby submitting an application to textnow, you agree to the collection, use, and disclosure of your personal information in accordance with the textnow candidate policyplease mention the word **wisely** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.","['python', 'sql', 'r', 'tableau']"
NetDocuments,Senior Cloud Engineer Observability,Remote - US,"netdocuments is committed to providing an excellent candidate experience and will never ask you to engage in recruitment activity without phone, video, and in person meetings and communications from emails using the @netdocuments.com domain. if you have any concerns or questions about communications you have received, please send them to hrgroup@netdocuments.com so our team members can review.

netdocuments is the worldâs #1 trusted cloud-based content management and productivity platform that helps legal professionals do their best work. we strive to win together through passionate hard work, exploring new things and recognizing every interaction matters.

netdocuments provides rewarding career growth in an inclusive, diverse environment where employees are encouraged to openly contribute creative ideas and innovation, backed by supportive peers and leadership working together to achieve our goals as a unified team.please mention the word **marvelled** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Aztec,Software Engineer Generalist Devops,Global Remote,"about aztec
at aztec, our goal is to add privacy to ethereum.
in the current public blockchain paradigm, users and entities unknowingly broadcast data in the public, compromising privacy and security to get trustlessness.
not only are unencrypted blockchains inherently privacy-exposing, they require significant redundancy to compute and verify the legitimacy of transactions.
implementing scalable encryption in a public blockchain paradigm requires cutting-edge math and engineering. thankfully, our team of scientists and engineers invented plonk, the industry-standard zksnark, and noir, the universal language of zero knowledge.
now, weâre building a first of its kind layer 2 with private smart contracts. this requires new cryptographic primitives, a zero-knowledge dsl for writing contracts, a privacy-friendly execution environment, a carefully designed set of circuits that prove the validity of the chain to l1, a decentralized block-building and proving mechanism, and a top-tier user and developer experience. and itâs now time to bring it to market.
weâve raised $125 million from industry-leading investors including a16z crypto, paradigm, variant, consensys, and a_capital, and weâre growing quickly.

role focus:
weâre looking for an devops engineering lead who thrives in a fast-paced environment and is excited by the prospect of growing a team with the mandate to 10x our current development velocity while preserving quality and security.


key responsibilities:


own the internal platforms critical to our ability to develop, test, deploy, and monitor our code
design and implement iac, ci/cd pipelines, and monitoring solutions
please mention the word **brilliant** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
Celerion,Director Global Training and Development,Remote - US,"celerion is committed to swift, exceptional clinical research through translational medicine.  every day, we use our experience, agility, and innovative research strategies to help get drugs to market faster.  build something from scratch. empower global teams. drive learning innovation.are you a builder, strategist, and hands-on leader who thrives on creating systems and programs that help global teams excel? if so, let's talk!celerion is seeking a director, global training and development to design and lead our global training and onboarding function from the ground up. this role will collaborate with leadership and existing sme experts within our lines of service to evaluate and recommend training initiatives to align with best practices. additionally, the role will focus on the development and expansion of programs to include new skill-based, compliance and professional development training across our global organization.  you will be the sole architectâassessing, strategizing, and executingâ while collaborating with all units of our organization. this is a high-visibility role with the opportunity to shape the future of talent development on a global scale.\nyou'll transform how we develop talent across celerion globally by:building a global learning strategy that aligns with business priorities and drives organizational performancemodernizing our approach by converting traditional training into engaging, digital-first experiences (microlearning, video, mobile, blended learning)designing new programs that address emerging skills, leadership development, and professional growth needsleveraging learning technology to enhance accessibility, engagement, and data-driven insightsmeasuring impact through kpis and analytics that demonstrate roi and drive continuous improvementpartnering across the organization to identify skill gaps and deliver consistent, scalable training experiences globallycreate learning experiences, materials, and curricula in collaboration with external consultants to ensure solutions are effective, engaging, and aligned with the needs of various lines of servicewho you are:a self-starter who is comfortable navigating ambiguity, loves building programs from scratch and can bring clarity and structure to existing frameworksexperienced in skill-based, compliance and professional l&d with a background in life sciences, healthcare, or technical educationskilled in curriculum design and adult learning principlescomfortable both strategizing and executingâyou can design training architecture in the morning and deliver a workshop that afternoona natural collaborator who influences across departments and levelspassionate about empowering others to learn, grow, and innovatewhat you bring:bachelor's degree in instructional design, educational technology, or related field2â5 years developing elearning and digital training content (healthcare, life sciences, or clinical research preferred)strong project management and stakeholder engagement skillsknowledge of adult learning theory, instructional design models, and accessibility standardsexcellent attention to detail with strong design and editing skillsgcp/glp expertise highly advantageousability to travel 10%+ domestically and internationallyready to build the future of learning at celerion? apply today.#li-remote \ncelerion values:       integrity   trust   teamwork   respectcelerion is an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, genetic information, marital status, qualified protected veteran status, or disability.please mention the word **proper** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",['excel']
Esri,Principal Product Engineer Digital Twins,Remote Eligible-US,"significant advancements in the 3d capabilities of arcgis over the years have laid the groundwork for digital twins in local government, resulting in many opportunities for esri. accordingly, we are looking for an experienced product strategist to help advance our digital twin offerings in the local government sector (both us domestic and international). our multidisciplinary team consists of exceptional software and product engineers, ux designers and architects who love to work in a highly social, collaborative, friendly and fun work environment. join us to create tomorrowâs immersive experiences with high-end visualization and previously unseen interaction and collaboration capabilities.please mention the word **diligently** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
TerrAscend,Marketing Operations Project Manager,Remote,"at terrascend, we donât just grow cannabis â we grow possibility. whether it's cultivating top-tier flower, supporting patients with trusted therapies, or crafting premium products for adult use, weâre here to elevate lives. as a trailblazer in the cannabis industry, our roots run deep and our sights are set high. if you're ready to shape the future of cannabis with a team that believes in quality, care, and community â letâs grow together.we are hiring a marketing operations project manager to serve as a key execution partner to our director of market operations. this role manages critical project workflows that drive portfolio performance, new product introductions (npis), and go-to-market (gtm) execution across multiple states and cross-functional teams. you will bring structure, clarity, and momentum to a fast-paced environment by ensuring the right products hit the market at the right time with the right input and accountability in place.\nresponsibilities manage timelines, trackers, and cross-functional deliverables for new product launches and line refreshes.drive weekly status updates, identify risks, and coordinate resolutions across marketing, sales, ops, r&d, and compliance.maintain and continuously improve project tracking tools to ensure visibility, alignment, and accountability across stages.prepare and organize inputs for portfolio review, demand planning, and launch excellence meetings. track key performance indicators (kpis), milestone completions, and project tiering criteria.document and continuously improve workflows and handoffs across the product lifecycle from idea to in-market.serve as a central point of contact for project stakeholders across departments and business units.develop clear project briefs, presentations, and summary reports for leadership.own the documentation process for approvals, packaging, and compliance readiness.other duties as assigned.qualifications & experience3-5 years of experience in project management, commercial operations, or program coordination (cpg or cannabis experience is a plus).proficiency in microsoft excel and project management software (such as click-up, wrike, smartsheet, monday.com, asana, ms project, or similar). strong communication and organizational skills with the ability to translate complexity into clear action plans and timelines. experience working in dynamic, cross-functional environments with shifting priorities. familiarity with go-to-market processes, product lifecycle, and commercialization principles. experience in a regulated industry such as cannabis, pharma, alcohol, or cpg strongly preferred. knowledge of cannabis markets, including timelines, sku complexity, or state-by-state differences. exposure to integrated business planning (ibp) or stage-gate innovation model. background check required\n$75,000 - $100,000 a year\nperks rolled just for you (for benefits-eligible roles)- comprehensive health coverage â medical, dental, vision, and prescription plans available for employees and their dependents.- mental health & wellness support â access to the ai-powered sabender platform, confidential counseling and life coaching through pas, nutrition coaching, and discounts at husk fitness.- flexible paid time off (pto) â generous pto to support workâlife balance (availability may vary by stateâask your recruiter for details).- employee assistance program (eap) â free, confidential support for mental health, financial planning, legal matters, and more.- paid parental leave â dedicated time to rest, recharge, and care for your growing family.- 401(k) with company match â save for the future with a 4% company match and immediate vesting.- pet insurance â affordable coverage options to keep your pets healthy.- employee discounts â exclusive savings at any of terrascendâs 39+ dispensary locations.- recognition program â earn points through peer-to-peer recognition and redeem for amazon rewards or gift cards.- disability & life insurance â company-paid protection for lifeâs unexpected moments.environmental factors:this position requires working in an environment that has a high amount of plant matter and pollen. areas of the facility reach high/low temperatures with high humidity levels. employees may have exposure to conditions such as dust, plant matter, and particles that affect the respiratory system, eyes, or skin, depending on department job assignments.  employees are required to wear protective gear and have the option to wear eye and ear protection. certain areas of the facility use harsh chemicals for cleaning such as bleach and can have repetitive movements. employees should be comfortable and capable of working under all of the above conditions.physical requirements:- able to push, pull, lift, or move a minimum of 50lbs- capable of sitting, standing kneeling, bending, squatting, and/or walking for extended periods of time- capable of using hands and fingers to touch, handle, feel and pick- ability to work with hazardous chemicals (butane, propane, etc.) following strict safety guidelines- utilize chemicals (such as bleach) to clean and maintain facility/equipment- must wear ppe (clothing protection), close-toed non-slip shoes, and optional ear/eye protection*** background check requirement ***as a condition of employment, a complete background investigation will be conducted based on the rules of the specific state in which the employee is hired. typically, the state investigative process includes a state and federal background check.eeo statementat terrascend, employees and applicants are evaluated based on their qualifications, skills, and ability to perform the duties and responsibilities of the position. terrascend is committed to assuring equal employment opportunities to all employees and applicants.terrascend is an equal opportunity employer. in accordance with applicable law, we prohibit discrimination based on race, color, religion, creed, gender, pregnancy or related medical conditions, age, national origin or ancestry, physical or mental disability, genetic information, sexual orientation, to include gay, lesbian, bisexual, transgender and gender identity, or any other consideration protected by federal, state or local laws. our commitment to equal opportunity employment applies to all persons involved in our operations and prohibits unlawful discrimination by any employee, including supervisors and coworkers.disclaimerthis job description is not an employment agreement or contract. management has the exclusive right to alter this job description at any time without notice. the list of job responsibilities, skills, duties, requirements, and the like is not exhaustive, rather it is illustrative of the current essential functions required for the position.this organization participates in e-verify.this employer participates in e-verify and will provide the federal government with your form i-9 information to confirm that you are authorized to work in the u.s. if e-verify cannot confirm that you are authorized to work, this employer is required to give you written instructions and an opportunity to contact department of homeland security (dhs) or social security administration (ssa) so you can begin to resolve the issue before the employer can take any action against you, including terminating your employment. employers can only use e-verify once you have accepted a job offer and completed the form i-9. e-verify works for everyone for more information on e-verify, or if you believe that your employer has violated its e-verify responsibilities, please contact dhs.esta organizaciã³n participa en e-verify.este empleador participa en e-verify y proporcionarã¡ al gobierno federal la informaciã³n de su formulario i-9 para confirmar que usted estã¡ autorizado para trabajar en los ee.uu.. si e-verify no puede confirmar que usted estã¡ autorizado para trabajar, este empleador estã¡ requerido a darle instrucciones por escrito y una oportunidad de contactar al departamento de seguridad nacional (dhs) o a la administraciã³n del seguro social (ssa) para que pueda empezar a resolver el problema antes de que el empleador pueda tomar cualquier acciã³n en su contra, incluyendo la terminaciã³n de su empleo. los empleadores sã³lo pueden utilizar e-verify una vez que usted haya aceptado una oferta de trabajo y completado el formulario i-9. para mã¡s informaciã³n sobre e-verify, o si usted cree que su empleador ha violado sus responsabilidades de e-verify, por favor contacte a dhs.statement on external recruiting agenciesterrascend and all affiliates do not accept blind resume submissions from external recruiting agencies. no fee will be paid to agencies who submit candidates without being under contract for an active search with terrascend. please mention the word **courage** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.","['excel', 'r']"
Medier,CRM Content Writer EMEA,Remote,"medier isnât just a marketing agencyâweâre creative partners to our clients. from digital and social media strategies to pr, influencer collaborations, seo, programmatic advertising, and crm, we offer a comprehensive suite of expert services. by combining creativity with data-driven insights, we donât just deliver campaignsâwe deliver results.our philosophy is simple â hire a team of diverse, passionate people and foster a culture that empowers you to do your best work. is it a match? youâre in.as a crm content writer, you will craft engaging, personalized, and localized crm communications (email, sms, push, in-app) that strengthen customer relationships and drive retention, engagement, and loyalty. working within the emea region and across global campaigns, youâll combine creativity with data insights to deliver content that resonates with diverse audiences.key responsibilities:write clear, compelling, and on-brand crm content tailored to global, regional, and local audiences.adapt messaging for different geographies, languages, cultural nuances, and customer segments.partnership with crm managers, localization specialists, and designers to create impactful multichannel campaigns and journeys.contribute to brainstorming sessions and ensure alignment with brand tone, strategy, and objectives.support a/b and multivariate testing by producing copy variations and analyzing performance results.use data-driven insights to refine messaging, increase engagement, and drive conversions.please mention the word **expertly** and tag rmtu1lji0ni4xnteumzq= when applying to show you read the job post completely (#rmtu1lji0ni4xnteumzq=). this is a beta feature to avoid spam applicants. companies can search these words to find applicants that read this and see they're human.",[]
